,Sharing,Address,Size,Provider,Receiver,Latency (ns)
548,write,524288,64,0,7,15.751
549,read,524288,64,0,7,29.001
550,read,0,8,0,7,34.501
551,read,0,64,0,7,29.001
552,write,0,64,0,7,21.251
553,write,0,8,0,7,32.001
554,read,20480,64,0,7,40.001
555,read,20480,8,0,7,40.001
556,write,20480,8,0,7,43.001
557,write,20480,64,0,7,26.751
558,read,524288,64,0,2,23.501
559,write,524288,64,0,2,10.251
560,write,524288,8,0,2,26.501
561,write,4096,8,0,2,26.501
562,write,4096,64,0,2,10.251
563,read,4096,64,0,2,23.501
564,read,4096,8,0,2,23.501
565,write,1048576,64,0,2,10.251
566,write,1048576,8,0,2,26.501
567,read,1048576,64,0,2,23.501
568,write,0,64,0,2,15.751
569,write,0,8,0,2,26.501
570,read,0,64,0,2,23.501
571,read,0,8,0,2,23.501
572,write,20480,8,0,2,32.001
573,write,20480,64,0,2,15.751
574,read,20480,8,0,2,29.001
575,read,20480,64,0,2,29.001
576,write,4096,64,0,5,21.251
577,write,4096,8,0,5,32.001
578,read,4096,64,0,5,29.001
579,read,4096,8,0,5,29.001
580,write,1048576,8,0,5,32.001
581,write,1048576,64,0,5,21.251
582,read,1048576,64,0,5,29.001
583,read,524288,64,0,5,29.001
584,write,524288,64,0,5,21.251
585,write,524288,8,0,5,32.001
586,write,20480,64,0,5,21.251
587,write,20480,8,0,5,37.501
588,read,20480,64,0,5,34.501
589,read,20480,8,0,5,34.501
590,write,0,8,0,5,26.501
591,write,0,64,0,5,15.751
592,read,0,8,0,5,29.001
593,read,0,64,0,5,23.501
594,read,524288,64,0,1,23.501
595,write,524288,64,0,1,15.751
596,write,524288,8,0,1,26.501
597,read,1048576,64,0,1,23.501
598,write,1048576,8,0,1,26.501
599,write,1048576,64,0,1,15.751
600,read,20480,8,0,1,29.001
601,read,20480,64,0,1,29.001
602,write,20480,64,0,1,21.251
603,write,20480,8,0,1,32.001
604,write,4096,64,0,1,15.751
605,write,4096,8,0,1,26.501
606,read,4096,8,0,1,23.501
607,read,4096,64,0,1,23.501
608,read,0,64,0,1,18.001
609,read,0,8,0,1,18.001
610,write,0,8,0,1,21.001
611,write,0,64,0,1,10.251
612,write,1048576,64,0,6,15.751
613,write,1048576,8,0,6,32.001
614,read,1048576,64,0,6,29.001
615,write,0,8,0,6,32.001
616,write,0,64,0,6,21.251
617,read,0,64,0,6,29.001
618,read,0,8,0,6,34.501
619,read,524288,64,0,6,29.001
620,write,524288,64,0,6,15.751
621,write,524288,8,0,6,32.001
622,read,20480,8,0,6,40.001
623,read,20480,64,0,6,40.001
624,write,20480,64,0,6,26.751
625,write,20480,8,0,6,43.001
626,read,4096,64,0,6,29.001
627,read,4096,8,0,6,29.001
628,write,4096,8,0,6,32.001
629,write,4096,64,0,6,15.751
630,read,1048576,64,7,0,29.001
631,write,1048576,8,7,0,32.001
632,write,1048576,64,7,0,15.751
633,read,20480,64,7,0,40.001
634,read,20480,8,7,0,40.001
635,write,20480,8,7,0,43.001
636,write,20480,64,7,0,21.251
637,write,524288,64,7,0,15.751
638,write,524288,8,7,0,32.001
639,read,524288,64,7,0,29.001
640,read,4096,8,7,0,29.001
641,read,4096,64,7,0,29.001
